doi_dedup___::561a4021836952a6c83323e721f2dc7b,Linaria repens (L.) Miller (BR0000010903612),Zenodo,,2019-05-19,2019,Open Access,,false,1,"",true,dataset,false,false,false
od______3000::2dca7a28aee8e8d4b80fda242f7f420f,Helicity amplitude analysis of / And,Elsevier,Nuclear Physics,2019-03-15,2019,Open Access,,false,4,Nuclear Physics,true,publication,false,false,false
pmid_dedup__::a6d14f0b595cf9b13ca98640a9481f05,A Linear Epitope in the N-Terminal Domain of CCR5 and Its Interaction with Antibody.,Public Library of Science,,2015-06-01,2015,Open Access,,false,13,"PLoS ONE)PLoS ONE, Vol 10, Iss 6, p e0128381 (2015)",true,publication,false,true,true
doi_dedup___::657b4ab1808f8721d3687c9549b58ca2,Typology based on a community structure detection approach,,Frontiers in aging neuroscience,2015-03-19,2015,Open Access,,false,9,"Frontiers in Aging Neuroscience)Frontiers in Aging Neuroscience, 7:35. Frontiers Media SA)urn:issn:1663-4365)VOLUME=7;ISSN=1663-4365;TITLE=Frontiers in Aging Neuroscience)Frontiers in Aging Neuroscience, Vol 7 (2015))Crossref)null",true,publication,true,true,true
doi_dedup___::aed576fc5104e5bed16da535109bd3a4,Biochemical basis for an interaction between SNX27 and the flexible SNX1 N-terminus,,,2021-11-27,2021,Open Access,,false,3,Adv Biol Regul)Crossref)null,true,publication,true,true,false
doi_dedup___::82d654434964f1427163cfc5e6a5d8f1,Stiffness Modeling of Parallel Mechanisms at Limb and Joint/Link Levels,,IEEE Transactions on Robotics,2017-06-01,2017,Open Access,,false,4,IEEE Transactions on Robotics)Crossref)null)1552-3098,true,publication,true,false,false
doi_dedup___::71b22b36ae58e53031382f42cf91ecc6,Rivastigmine decreases brain damage in HIV patients with mild cognitive deficits,John Wiley and Sons Inc.,,2017-01-01,2017,Open Access,,false,16,"Crossref)null)ISSN: 2328-9503)Annals of Clinical and Translational Neurology, Vol. 4, No 12 (2017) pp. 915-920)Annals of Clinical and Translational Neurology)Annals of clinical and translational neurology, vol. 4, no. 12, pp. 915-920",true,publication,true,true,true
doi_dedup___::06d6093a4dc7de825ed377aa8c475f7c,Investigation of the Martini Force Field for Lipid Raft Membranes,Biophysical Society. Published by Elsevier Inc.,Biophysical Journal,2012-01-01,2012,Open Access,,false,2,Crossref)null,true,publication,true,false,false
doi_dedup___::f1578c364d8022bfda156ef643650f9f,Heavy-traffic analysis of QoE optimality for on-demand video streams over fading channels,IEEE,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications,2018-08-01,2018,Open Access,,false,2,Crossref)INFOCOM)null,true,publication,true,false,false
doi_________::6b2adf598f3e437f084c384c8edb9df7,Interplay between deformation behavior and mechanical properties of intercritically annealed and tempered medium-manganese transformation-induced plasticity steel,Elsevier BV,Materials Science and Engineering: A,2016-01-01,2016,Closed Access,,false,5,Crossref)null,true,publication,true,false,false
pdb_________::2a6ba2b636dc3a4ea702f9c587227d96,pandda analysis group deposition -- crystal structure of ptp1b in complex with compound_fmopl000108a,,,2019-02-19,2019,not available,,false,9,"",false,dataset,false,false,false
doi_________::a19e78b64a4e35f519a6dc38818201b1,Products of derived structures on topological spaces,Elsevier BV,Topology and its Applications,2016-03-01,2016,Open Access,,false,3,Crossref)null,true,publication,true,false,false
doi_________::0d035ece98e3bbb929db099a75169a40,Intelligent bearing fault signature extraction via iterative oscillatory behavior based signal decomposition (IOBSD),Elsevier BV,Expert Systems with Applications,2016-03-01,2016,Closed Access,,false,2,Crossref)null,true,publication,true,false,false
doi_dedup___::056a700649a0027bb634a2d26438519b,Receptor/gene/protein-mediated signaling connects methylprednisolone exposure to metabolic and immune-related pharmacodynamic actions in liver,,,2018-04-27,2018,Open Access,,false,6,Crossref)null,true,publication,true,true,false
doi_dedup___::274e60e38ca935ee3a94448476092ed9,The Influence of Static and Dynamic Intrapersonal Factors on Longitudinal Patterns of Peer Victimization through Mid-adolescence: a Latent Transition Analysis.,,Journal of abnormal child psychology,2017-09-02,2017,Closed Access,,false,3,Crossref)null,true,publication,true,false,false
doi_dedup___::bb2373eb41d78c3fc81c9a44c2c9e09a,Binding of polystyrene and carbon black nanoparticles to blood serum proteins.,,Inhalation toxicology,2011-06-22,2011,not available,,false,4,Crossref)null,true,publication,true,false,false
